Year,Type,Country,Area,Activity,Sex ,Fatal
2015.0,Invalid,FRENCH POLYNESIA,Bora Bora,Swimming,M,True
2015.0,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,F,False
2015.0,Unprovoked,USA,North Carolina,,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,M,False
2015.0,Unprovoked,USA,North Carolina,Swimming,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,USA,South Carolina,Playing in the water,M,False
2015.0,Unprovoked,USA,North Carolina,Swimming,M,False
2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Body Boarding,M,False
2015.0,Invalid,USA,Florida,Swimming,F,True
2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,False
2015.0,Unprovoked,USA,South Carolina,Standing,M,False
2015.0,Provoked,AUSTRALIA,Western Australia,Swimming,M,False
2015.0,Unprovoked,USA,North Carolina,Body surfing?,M,False
2015.0,Unprovoked,USA,North Carolina,Swimming,M,False
2015.0,Invalid,AUSTRALIA,Western Australia,Surfing,F,False
2015.0,Unprovoked,USA,South Carolina,Standing,M,False
2015.0,Unprovoked,PUERTO RICO,,Spearfishing,M,False
2015.0,Unprovoked,USA,Florida,Swimming,M,False
2015.0,Unprovoked,USA,North Carolina,Wading,M,False
2015.0,Unprovoked,USA,North Carolina,Wading,F,False
2015.0,Unprovoked,USA,California,,F,False
2015.0,Unprovoked,USA,North Carolina,Boogie boarding,F,False
2015.0,Unprovoked,USA,Florida,Playing,M,False
2015.0,Unprovoked,USA,Florida,Attempting to rescue a shark,F,False
2015.0,Unprovoked,REUNION,Le Port,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Standing,F,False
2015.0,Unprovoked,USA,Florida,Wading,F,False
2015.0,Unprovoked,FRENCH POLYNESIA,Rangiroa,Spearfishing,M,False
2015.0,Unprovoked,USA,Florida,Swimming,F,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,USA,South Carolina,,M,False
2015.0,Unprovoked,NEW CALEDONIA,,Snorkeling,M,True
2015.0,Unprovoked,USA,Florida,Swimming,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
